Questions	Answers
 Hi	 Hello, how may I aid you?
 I am Karen Johnson want to travel to San Francisco, CA-SFO from Philadelphia, PA-PHL, can you please help me in booking?	 Sure, we are here to help you.
 Thank you.	 May I know your dates of travel?
 My dates of travel are from 09/02 to 09/04.	 Do you have any specifications?
 My price limit is 200.  I want a single connection in between my journey.	 Ok, please wait a moment.
 Ok	 We found an airline UA with flight 1010 having a fare 100 with halt.  Shall I proceed with booking?
 Please proceed with booking.	 Your booking has been processed.
 Thank you for aiding me.	 Thank you.
 Hello	 Hello, how may I assist you?
 Can you please help me in booking a flight ticket from IAD to JFK?	 Sure, may I know your planned travel dates please?
 Sure, my travel dates are from Aug 19 to Aug 21.	 Would you like to travel in a connecting flight or a direct flight?
 I would like to travel in a connecting flight.	 May I know your good name please?  We found JetBlue airline with economy class and flight number is 1026 with arrival time is 2
 Myself Patrick Mitchell.  Ok, please proceed.	 Your ticket is booked.
 Thank you for booking.	 You are welcome.
 Hello	 Hello, how can I assist you?
 I need your help to book a flight from AUS to OAK.	 Can I know your travelling dates?
 Sure, I want to travel on May 21 and need to return on May 23.	 Do you need any connection limit?
 No, I need a direct fight.	 Do you need any other specifications?
 No.	 May I know your name?
 I am Janet Nelson.	 There are no flights available on your routes.
 Ok, no problem.  Thank you for the information.	 Thank you for choosing us.
 Hi, I am Mark Phillips.	 Hello, how may I help you?
 I am planning to travel to Minneapolis & St. Paul with my granny to attend cultural event.  Can you make a reservation with a single connection?	 Sure, may I know your journey dates please?
 Sure, my arrival and departure dates are 10/20 and 10/22.	 Ok, please help me by providing your journey codes to proceed further.
 Sure, I am heading from Austin AUS to Minneapolis & St. paul MSP.	 Thanks for your details, we found a flight with number 1001 and airline JetBlue at a price of 100 with 1 connection.
 Please proceed to book.	 Sure, your booking is done.
 Thanks for your assistance.	 Thank you for reaching us, have a nice day.
 Hello	 Hello  How may I aid you?
 I am William Harris, can you help me to book a flight ticket from DCA to LGA?	 Sure, can you please share your preferable travelling dates? 
 Ok, my travel dates are 10/02 and 10/04.	 Ok. please be on hold.
 Ok, please book a connecting flight.	 There is a flight found on this route with 1 connection limit and fare of 100. Shall I proceed for booking?
 Ok, the intents are as I need. Book it for me.	 Your ticket has been confirmed with flight number 1001 in Delta airlines.
 Thank you for connecting with me.	 Thank you for reaching us, have a safe journey.
 Hello	 Hello  How may I assist you?
 I am planning to celebrate my birthday in Boston, so please book a flight ticket from EWR to BOS.	 Sure, may I know your travel dates?
 I want to fly on Dec 02, return on Dec 04.	 On what name do you like to reserve this ticket?
 John Hernandez.	 Do you have any specifications? 
 I want a flight with one connection.	 We found a economy class flight on your details with United Airlines, flight number  Shall I book this ticket?
 Ok, proceed to booking.	 Your ticket has been booked.
 Thank you.	 Thank you.
 Hello	 Hello, how can I serve you? 
 Can you please help me in booking a flight from OAK to reach DEN?	 Sure, may I know your journey dates? 
 Thank you, my travelling dates are June 6th and June 8th.	 Do you need any break in your journey? 
 I prefer a flight with single connection.	 Is there any class preference? 
 I don't have any class preference.	 Do you have any other requirements? 
 No.	 May I know your name please? 
 Amy Scott is my name.	 There is a connecting flight with fare of 100 and 1001 flight number.   Shall I proceed?
 Ok, please reserve it.	 Your seat has been reserved with United Airlines in economy class. 
 Thank you for the service.	 Thank you for reaching us. 
 Hello	 Hello, how may I aid you today from my end?
 Can you please help me in flight ticket booking process from BOS to PHL?	 Sure, I am here to help you out. Please provide me your trip dates. 
 Thank you for your response, I want to take off on Sept 25 and book my return ticket also on Sept 27.	 May I know your name to proceed further? 
 Sure, my name is Janet Martinez.	 Do you have connection limit? 
 I need 1 break in between my journey	 Sorry Janet Martinez, there is no flight in your route as per your requirement. 
 Oh! It's ok no problem.  Thank you for your information.	 Thank you for reaching us. 
 Hello, I'm Rachel Hill.	 Hello Hill.  How may I help you?
 I am looking for a flight on the route MSP to MCO, can you please find any airlines providing service on this route?	 May I know your trip dates?
 I would like to travel on 08/26 and return back on 08/28.	 We found a flight for you with 1 connection limit.  Shall I proceed?
 Ok, please proceed for further.	 Your ticket is confirmed with flight number 1008 and airline is Jetblue.
 Thank you.	 Welcome, have a safe flight.
 Hello	 Hello  How can I aid you?
 I want to book a flight ticket from ORD to LAS, can you please help me?	 Sure, We are here to help you.  Kindly share me your travelling dates.
 Thank you for your response. I planned my trip on the dates Mar 1 and Mar 3.	 Are you okay with connecting flight or you need a direct flight?
 Yes, I am fine with connecting flight.	 Is there any another specifications on your trip, so that I can book a ticket as per your wish?
 I prefer evening flight at the time of depart.	 May I know your name?
 Myself Mark Parker.	 We found a connecting flight with an Southwest airlines, flight number
 Yes, please proceed.	 Your flight ticket has been reserved with na economy class.
 Thank you for your help.	 Thank you for reaching us.
 Hello	 Hello, how can I assist you?
 I have to attend a meeting in our community, can you please help me to reserve the ticket from SEA to CLT?	 Sure, may I know your dates of travel?
 Thank you for considering my request. My planned travel dates are Oct/31 and Nov/02.	 Do you need any lay by in between your journey?
 I need a single lay by in between my journey.	 Any other specifications to be met?
 I prefer to travel in a business class flight. Please search the flight accordingly.	 Ok, please wait a minute.
 Ok, take your own time. 	 We found an airline Spirit with flight 1016 having a single connection in business class.   Shall I proceed with booking?
 That's perfectly matching to my requirements, you can proceed with the ticket booking under the name Amanda Harris.	 Ok, your booking has been processed.
 Thanks a lot for your help. 	 Thank you for availing us.
 Most welcome.   Hello.	 Hello, how may I aid you? 
 I am planning to attend a marriage in Dallas, can you please reserve a flight ticket with direct flight?	 May I know your itinerary dates please? 
 My journey dates are on Jan 26th and 28th.	 To proceed further I need your source and destination codes.
 My airport codes are, AUS to DFW.	 Is there any other specifications regarding your journey? 
 No, I don't have any other specifications. 	  May I know your name for the documentation process? 
 My name is Brenda Rodriguez.	 Sorry, no flight is available for you as per your requests.
 Ok, no problem.  Thank you.	 Welcome Brenda Rodriguez.  
 Hello, I am Justin Walker.	 Hello, how can I assist you?
 I want to visit ORD, can you help me with reservation?	 Sure.  Can I know your journey dates?
 OK, my depart is on 09/22 and return on 09/24.	 Please share your origin point.
 My source is ATL.	 Do you have any limitations?
 I need price under 200 with single connection.	 Thanks for the information.  We found a flight with Hawaiian airline with flight number
 OK, proceed with it.	 Your ticket has been reserved with a connection.
 Thank you, for the help.	 Thanks for choosing us.
